"WDS";"Discov";"Comp";"Firs";"Last";"Obs";"P1";"P2";"Sep.01";"Sep.02";"Mag1";"Mag2";"Spectr";"M1RA";"M1DE";"M2RA";"M2DE";"DurNum";"Not";"Coord2000ArcSec";"Mag1Num";"Mag2Num"
"05561+1356";"S   503";"AD";1825;2002;14;337;334;201.8;299.2;"6.67";"8.24";"G5IV";"373";"-484";"18";"-25";"+13 1035";"NL U";"055603.43+135529.7";6.67;8.24
"05561+1356";"S   503";"BD";1825;2002;21;333;337;239;225.2;"8.41";"8.24";"G5";"-54";"11";"18";"-25";"";"N";"055600.20+135627.9";8.41;8.24
"05572-5326";"HJ 3822";"AB";1836;2000;22;304;303;65;55.6;"6.63";"7.58";"K5-M0III";"9";"-1";"-3";"-29";"-53  978";"";"055714.36-532532.5";6.63;7.58
"05575+0024";"BU 1189";"AB,C";1890;2012;16;195;195;58.1;55.4;"8.01";"8.32";"A";"-2";"-3";"8";"11";"+00 1229";"";"055727.59+002358.5";8.01;8.32
"05584+0150";"ARN  37";"AC";1909;2010;18;293;293;177.6;177.1;"5.92";"6.94";"A5m";"6";"-8";"7";"-7";"";"N";"055824.44+015013.6";5.92;6.94
"06047-4505";"HJ 3834";"AE";1854;2011;14;320;323;173.8;202.9;"6.02";"6.39";"G01V-V";"-80";"254";"-81";"246";"-45 2300";"NZ V";"060440.10-450444.1";6.02;6.39
"06055+1435";"AG  321";"";1894;2012;20;187;188;37.2;36.2;"7.78";"8.84";"F0";"1";"-15";"-5";"-5";"+14 1139";"";"060527.33+143436.9";7.78;8.84
"06092+1139";"STF 853";"";1831;2014;54;340;8;24.1;37.7;"8.49";"8.98";"G5";"-76";"-83";"-4";"-5";"+11 1044";"L";"060909.51+113919.0";8.49;8.98
"06096+0540";"STF 859";"AB";1829;2015;43;249;242;31.4;45.2;"8.49";"8.97";"G0";"58";"46";"1";"-16";"+05 1117";"NL U";"060935.88+054007.6";8.49;8.97
"06131+4431";"BRT 113";"";1894;2010;8;211;211;32.1;32.2;"8.59";"8.80";"A";"11";"-16";"10";"-18";"+44 1392";"N";"061305.55+443057.0";8.59;8.8
"06141+2359";"STTA 70";"";1875;2014;28;178;178;116.5;114.4;"7.55";"7.95";"F0";"-5";"-18";"-1";"-3";"+24 1168";"N";"061408.93+235911.2";7.55;7.95
"06143+1430";"S   509";"AB";1825;2011;20;198;198;169.8;170.8;"7.25";"8.04";"A1V";"-8";"-10";"7";"-16";"+14 1211";"NZ";"061418.35+142937.0";7.25;8.04
"06145+1148";"STTA 71";"";1875;2015;32;310;312;89.5;90.5;"7.21";"7.62";"K0";"-6";"-19";"-6";"-6";"+11 1076";"NY";"061431.13+114749.0";7.21;7.62
"06163-5913";"DUN  27";"AB";1826;1999;25;223;233;58;34.4;"6.49";"7.61";"G0V+F8";"-46";"-317";"27";"-209";"-59  619";"NL Y";"061618.78-591248.6";6.49;7.61
"06193-2458";"S   516";"AB";1825;1999;22;3;8;66.3;60;"7.32";"8.29";"A1V";"-10";"7";"15";"-33";"-24 3915";"NZ";"061915.29-245829.8";7.32;8.29
"06193-2458";"S   516";"AC";1825;2007;18;242;243;300;301.9;"7.31";"7.00";"A1V";"-10";"7";"-5";"8";"-24 3906";"NZ";"061915.29-245829.8";7.31;7
"06194+1326";"STTA 73";"AB";1875;2013;26;44;44;73.3;72.8;"6.94";"7.74";"F6V+K1V";"20";"-11";"9";"-11";"+13 1199";"NY";"061925.40+132602.1";6.94;7.74
"06198-3930";"HJ 3849";"";1837;2010;20;51;53;45;39.3;"6.73";"8.07";"K2/3III";"7";"-4";"7";"-5";"-39 2524";"N";"061947.95-392911.4";6.73;8.07
"06203-3004";"SMY   1";"";1833;2016;16;338;340;167;169.6;"2.96";"7.81";"B2.5V";"7";"4";"10";"-10";"-30 3038";"N";"062018.79-300348.2";2.96;7.81
"06206+2511";"STTA 74";"AB";1874;2005;22;264;265;58;56.8;"7.08";"8.86";"B9";"-5";"-6";"0";"-6";"+25 1225";"N";"062036.35+251120.4";7.08;8.86
"06206+1803";"STTA 75";"";1876;2015;26;127;129;47.5;47.1;"7.72";"8.92";"G7III";"2";"-9";"-4";"-14";"+18 1178";"N";"062034.48+180256.7";7.72;8.92
"06210+0944";"ARN  41";"AC";1901;2011;11;19;19;124;124.4;"8.14";"7.93";"K2";"-2";"-5";"-1";"-2";"";"";"062101.17+094345.5";8.14;7.93
"06212+2108";"S   513";"AB";1825;2013;33;258;259;59.4;59.2;"7.31";"8.92";"B8III+A0";"-5";"0";"-5";"-1";"+21 1203";"NU";"062114.48+210756.7";7.31;8.92
"06212+2108";"S   513";"AD";1894;2015;24;23;24;265.8;264.9;"7.31";"7.61";"B8III";"-5";"0";"8";"-12";"";"NY";"062114.48+210756.7";7.31;7.61
"06225-6013";"SHY  34";"AD";1991;1999;3;331;331;999.9;999.9;"6.51";"8.01";"G1V+K0V";"-11";"65";"25";"1";"";"NVW";"062230.95-601307.7";6.51;8.01
"06240-3642";"DUN  28";"AC";1826;2008;25;64;75;69;63.5;"5.73";"6.91";"G6III";"-13";"55";"-25";"-5";"-36 2875";"Y";"062401.02-364228.4";5.73;6.91
"06247+5940";"STTA 72";"AC";1874;2008;19;322;323;134.4;134.3;"7.58";"7.58";"K0";"6";"-45";"5";"-45";"+59  968";"N";"062443.95+594010.4";7.58;7.58
"06255-3504";"HJ 3858";"AB";1846;2011;20;49;48;127.2;134.4;"6.40";"7.61";"K3III";"1";"-45";"1";"-11";"-34 2864";"Z";"062530.01-350350.5";6.4;7.61
"06267+0027";"STF 910";"A,BC";1831;2012;28;151;152;66.2;66;"6.99";"8.11";"G5";"-13";"-17";"-16";"-18";"+00 1418";"";"062643.39+002715.2";6.99;8.11
"06268+5825";"S   514";"AC";1782;2013;29;272;273;88.3;94.9;"5.38";"7.92";"K4III";"-6";"-2";"-3";"-21";"+58  925";"N";"062648.88+582502.7";5.38;7.92
"06290+2013";"STTA 77";"AB";1876;2015;38;329;330;112.5;112.8;"4.10";"8.01";"B6IIIe";"-7";"-13";"-6";"-14";"+20 1441";"N";"062857.79+201243.8";4.1;8.01
"06291-4022";"DUN  29";"";1826;2010;18;109;118;71.7;63.9;"7.70";"7.98";"K2IV/V";"45";"26";"-9";"-1";"-40 2486";"NL";"062907.12-402218.8";7.7;7.98
"06341+2207";"S   524";"AB";1777;2015;35;244;244;47;53.4;"7.17";"7.41";"A3";"-12";"-37";"-10";"-36";"+22 1386";"NZ V";"063407.10+220727.2";7.17;7.41
"06343+3805";"STT 147";"AB";1843;2016;23;73;74;43.8;42.7;"6.77";"8.69";"K0";"8";"-8";"8";"-9";"+38 1523";"N";"063419.37+380433.6";6.77;8.69
"06359-3605";"SHY 185";"AB";1991;1999;5;129;129;287.3;287.5;"6.41";"7.30";"G0V+G1V";"-60";"-73";"-53";"-86";"";"NV";"063554.07-360518.4";6.41;7.3
"06376+1211";"S   529";"AC";1825;2012;16;171;165;187.9;143.5;"6.91";"8.09";"G5";"-75";"-285";"-35";"-1";"+12 1222";"NL";"063733.90+121050.0";6.91;8.09
"06377+6129";"STT 563";"AB";1850;2003;14;85;74;143.5;182.2;"6.04";"8.78";"G8IV-V";"-208";"-274";"0";"2";"+61  893";"NL";"063741.38+612852.4";6.04;8.78
"06377+6129";"BUP  91";"AC";1904;2014;8;95;92;374.4;397.2;"6.04";"6.99";"G8IV-V";"-208";"-274";"7";"-24";"+61  896";"N";"063741.38+612852.4";6.04;6.99
"06377+6129";"BUP  91";"BC";1904;2003;11;104;106;226.7;228.4;"8.78";"6.99";"K0";"0";"2";"7";"-24";"";"N";"063805.71+612942.0";8.78;6.99
"06380-6132";"SHY  35";"AD";1991;1999;3;305;305;999.9;999.9;"6.32";"6.59";"G2V+G1V";"-26";"72";"-11";"65";"";"NV";"063800.39-613200.2";6.32;6.59
"06406+0947";"ABH  50";"AD";1897;2004;13;135;137;103.2;103.7;"8.49";"8.99";"B3Vnn";"-1";"-4";"0";"-4";"+09 1335";"N";"064038.37+094716.0";8.49;8.99
"06410+0954";"STF 950";"AE";1863;2013;29;139;139;75.7;73.5;"4.66";"8.86";"O7Ve";"-1";"-3";"-10";"-24";"";"N";"064058.66+095344.7";4.66;8.86
"06427+0143";"STF 956";"AC";1830;2011;24;155;158;35;36;"7.96";"8.95";"O8.5V+F3";"-1";"1";"-6";"-9";"";"";"064240.55+014258.2";7.96;8.95
"06428-5027";"HJ 3889";"";1836;2011;15;266;270;42.2;40.8;"6.97";"8.76";"B5V";"-6";"10";"-15";"1";"-50 2357";"N";"064248.84-502706.4";6.97;8.76
"06442-5442";"DUN  34";"";1826;2010;19;185;192;130.2;129.3;"6.44";"6.66";"B5/6V";"-17";"7";"-9";"13";"-54 1097";"NZ";"064412.79-544143.8";6.44;6.66
"06475-2834";"RSS   6";"";1876;2010;13;168;167;54.3;54.8;"7.80";"8.54";"B3IV";"-2";"4";"4";"4";"-28 3431";"NY";"064727.39-283331.6";7.8;8.54
"06484-1326";"B  2611";"AB,C";1902;2004;11;166;166;85.9;84.9;"8.58";"8.31";"F5/6V";"-1";"-12";"-2";"12";"";"";"064821.40-132627.0";8.58;8.31
"06497-2405";"S   537";"AC";1825;2008;18;282;282;30.3;30.4;"6.56";"8.28";"A0/1V";"1";"-14";"-1";"-14";"-23 4436";"ZW";"064944.00-240433.7";6.56;8.28
"06504-3142";"H 5 108";"A,BC";1782;1999;18;67;66;42.9;42.8;"5.76";"7.71";"B6Vnpe";"-3";"15";"-3";"16";"-31 3717";"N W";"065023.34-314221.8";5.76;7.71
"06539-0424";"STF 985";"";1890;2011;20;323;323;32.3;32.6;"7.78";"8.39";"K5";"-1";"-5";"-1";"-3";"-04 1714";"N";"065356.06-042332.8";7.78;8.39
"06541+0641";"STTA 79";"";1875;2012;23;89;90;116.1;115.7;"7.20";"7.52";"G5";"0";"-11";"-4";"-7";"+06 1427";"N";"065406.05+064115.8";7.2;7.52
"06550-2024";"H 5  65";"AB";1782;2011;21;154;147;44.9;43;"5.80";"8.66";"A3IV";"0";"-11";"-2";"5";"-20 1624";"N";"065502.74-202417.5";5.8;8.66
"06558-1152";"STF 993";"";1902;2010;13;238;240;36.3;37.1;"8.96";"8.98";"F0";"4";"-7";"-9";"0";"-11 1697";"N";"065545.11-115132.8";8.96;8.98
"06573-0610";"HJ   46";"AB";1896;2010;6;96;97;57.7;57;"8.6";"8.8";"K2+K0";"6";"1";"0";"2";"-05 1887";"";"065720.92-060935.9";8.6;8.8
"06581+1414";"STTA 80";"AB";1876;2012;19;53;53;124.4;124.9;"7.25";"7.37";"B9";"-6";"-9";"-7";"-9";"+14 1509";"Y";"065806.59+141343.4";7.25;7.37
"06581+1414";"STTA 80";"AC";1897;2012;16;112;112;81.6;81.6;"7.25";"8.37";"B9";"-6";"-9";"-2";"-5";"+14 1512";"";"065806.59+141343.4";7.25;8.37
"06581+1414";"STTA 80";"BC";1897;2012;16;193;193;107.1;108.9;"7.37";"8.37";"A5";"-7";"-9";"-2";"-5";"+14 1513";"";"065813.45+141457.2";7.37;8.37
"07002-2243";"S   543";"";1825;2010;18;271;272;91.4;92.2;"8.36";"8.58";"K3III";"2";"3";"-5";"5";"-22 1645";"N";"070009.50-224310.2";8.36;8.58
"07002-3109";"SHY 187";"";1991;2010;5;196;196;323.8;323.9;"6.66";"8.53";"F5.5V+G9V";"20";"36";"19";"34";"-30 3775";"NVW";"070009.77-310830.0";6.66;8.53
"07006+1243";"STF1007";"AD";1905;2016;28;28;28;67.9;67.7;"7.43";"7.74";"A2V";"-6";"1";"-8";"-1";"+12 1382";"NZ";"070037.12+124324.2";7.43;7.74
"07013+3225";"ARN  66";"AF";1899;2011;16;301;301;169.1;172;"6.59";"8.26";"A9IV";"-13";"-19";"-12";"-15";"";"";"070117.01+322452.4";6.59;8.26
"07023+1235";"HJ 3288";"";1908;2013;18;248;247;39.9;38.3;"7.29";"8.67";"A2";"-17";"8";"-2";"-5";"+12 1395";"NY";"070218.43+123454.2";7.29;8.67
"07040-4337";"DUN  38";"AC";1900;2011;9;334;337;184.8;185.7;"5.61";"8.83";"G3V";"-103";"389";"-96";"394";"-43 2904";"NVW";"070357.32-433628.9";5.61;8.83
"07041+2034";"SHJ  77";"AC";1779;2015;49;351;347;91.9;100.2;"4.05";"7.66";"F7-G3Ib";"-7";"0";"-81";"39";"";"NL";"070406.54+203413.1";4.05;7.66
"07043+0129";"STTA 82";"";1876;2014;26;318;319;90.4;89.9;"6.54";"7.62";"A0V";"-4";"-6";"-2";"-4";"+01 1665";"NY";"070420.17+012918.6";6.54;7.62
"07060-4220";"HJ 3931";"AC";1835;1999;15;41;41;72.9;72.2;"7.19";"8.77";"F5V";"-11";"24";"-12";"24";"-42 2961";"Z";"070557.79-421939.3";7.19;8.77
"07080+1532";"ENG  28";"AB";1891;2011;24;99;99;172.5;171.8;"7.86";"7.74";"G0V";"-53";"-207";"-55";"-212";"+15 1473";"NVW";"070800.24+153142.9";7.86;7.74
"07081-1155";"SKF1303";"";1902;2010;9;282;282;158.2;158.2;"7.04";"8.75";"C6.3+B2V";"-8";"3";"-6";"2";"";"NV";"070803.44-115523.8";7.04;8.75
"07084-2624";"BU 1412";"";1832;1999;7;226;225;265;265.9;"1.91";"8.76";"F8Iab:";"-3";"4";"-14";"22";"-26 3916";"N";"070823.49-262335.5";1.91;8.76
"07092-5622";"DUN  40";"";1826;2010;17;141;143;39.2;36.4;"8.10";"8.46";"G8/K0III";"2";"0";"-5";"0";"-56 1261";"N";"070913.80-562136.4";8.1;8.46
"07096+2544";"STTA 83";"AC";1874;2011;35;87;79;105.4;122.5;"7.16";"7.79";"G5V";"-123";"-175";"-14";"-24";"+25 1595";"NL";"070935.47+254344.7";7.16;7.79
"07097+6045";"HJL1046";"AB";1906;2011;13;164;164;181.4;184.8;"6.76";"7.95";"K0";"-9";"-48";"-13";"-58";"";"";"070937.77+604731.5";6.76;7.95
"07113+3307";"SHY 190";"";1991;2001;4;182;182;999.9;999.9;"7.21";"8.08";"F5+G0";"-112";"-9";"-111";"-8";"+33 1486";"NV";"071119.56+330642.8";7.21;8.08
"07126-3613";"GLI  56";"AB";1852;2000;6;346;13;50.1;47.6;"7.73";"8.81";"A1V";"-6";"18";"-2";"-10";"-36 3426";"";"071234.65-361402.7";7.73;8.81
"07166-2319";"SHY 508";"BC";1991;1999;3;165;165;999.9;999.9;"5.84";"6.76";"A5m+F0";"-31";"42";"-29";"41";"";"NV";"071638.35-231839.3";5.84;6.76
"07170-3054";"BSO   2";"";1838;2010;16;181;183;37.5;37.9;"6.32";"7.82";"A9II";"3";"-26";"3";"-27";"-30 4234";"N W";"071657.22-305349.3";6.32;7.82
"07171-3706";"DUN  43";"AB";1826;2009;26;214;213;72.6;66.5;"2.89";"7.94";"K3Ib";"-11";"7";"-10";"0";"-36 3489";"N";"071708.56-370551.0";2.89;7.94
"07183-3644";"JC   10";"AB";1846;2011;23;97;102;238.7;241.6;"4.66";"5.07";"B2V+B3IV";"-10";"6";"-10";"5";"-36 3512";"N";"071818.40-364402.3";4.66;5.07
"07183-3644";"JC   10";"BC";1846;2011;11;215;215;116.9;118.9;"5.07";"8.67";"A0V";"-10";"5";"4";"23";"-36 3519";"N";"071838.19-364433.9";5.07;8.67
"07187-2457";"HJ 3948";"AD";1834;2002;12;73;77;85;84.8;"4.42";"8.22";"O9II";"-2";"4";"14";"10";"-24 5180";"N";"071842.49-245715.8";4.42;8.22
"07217-6157";"BSO  16";"";1836;2010;16;210;210;179;170.4;"6.89";"8.36";"B8";"-23";"29";"19";"23";"-61  814";"N";"072141.12-615705.3";6.89;8.36
"07219+4614";"ES 2624";"";1895;2010;17;85;88;81.3;80.7;"8.12";"8.25";"K2";"4";"-5";"8";"-25";"+46 1255";"N";"072147.68+461331.1";8.12;8.25
"07229+5517";"STF1062";"AD";1821;2002;11;357;6;213.4;215.3;"5.76";"7.57";"B8V";"-4";"-32";"-5";"-33";"+55 1193";"NZ";"072252.06+551653.3";5.76;7.57
"07241-2918";"SMY   2";"";1833;2010;15;285;286;169;178;"2.45";"6.77";"B5Ia";"-5";"6";"-6";"-1";"-29 4328";"N";"072405.70-291811.2";2.45;6.77
"07247-3149";"DUN  47";"A,CD";1898;2009;16;341;342;100.4;97.6;"5.40";"7.58";"B8V";"-21";"9";"-5";"10";"-31 4481";"N";"072443.87-314832.1";5.4;7.58
"07254+5633";"STTA 84";"AB";1875;2011;26;326;325;114.2;115;"7.72";"7.75";"K2";"1";"-12";"-56";"-59";"+56 1208";"Y";"072526.36+563238.9";7.72;7.75
"07260+1406";"STF1088";"AC";1829;2015;29;238;238;112.3;112.8;"7.38";"8.71";"A0V";"-7";"-8";"-5";"-18";"";"N";"072602.42+140610.7";7.38;8.71
"07265+1831";"STF1090";"AB";1830;2015;36;98;98;61.1;60.7;"7.27";"8.17";"F2V";"-16";"-19";"-16";"-18";"+18 1616";"";"072627.33+183100.8";7.27;8.17
"07266+7305";"STF1051";"AC";1790;2004;38;78;84;32.8;31.6;"7.60";"7.79";"F2IV";"20";"16";"22";"19";"";"Z";"072635.11+730457.5";7.6;7.79
"07276-1830";"S   550";"";1797;2014;25;116;116;38.7;39.5;"6.89";"7.63";"A0+B8I";"-5";"-5";"-1";"2";"-18 1846";"NY";"072734.48-182930.8";6.89;7.63
"07277+2208";"S   548";"AC";1782;2015;28;272;277;34.7;35.1;"6.98";"8.89";"K5";"-10";"-5";"-7";"-6";"";"N";"072740.54+220829.3";6.98;8.89
"07287+2439";"STTA 85";"AB";1875;2013;21;27;20;56.3;64;"7.65";"8.95";"F8";"12";"-68";"-21";"10";"+24 1665";"NL";"072840.62+243854.9";7.65;8.95
"07291+3147";"ALC   3";"AE";1912;2001;6;355;355;757.2;755.4;"4.16";"7.82";"F0V";"159";"193";"158";"176";"+32 1561";"NV";"072906.72+314704.3";4.16;7.82
"07292+1421";"STTA 86";"";1875;2010;22;350;349;56;55.6;"7.17";"8.24";"A3";"-4";"-3";"-14";"-7";"+14 1677";"N";"072913.42+142130.0";7.17;8.24
"07304+1352";"STF1102";"AD";1825;2013;17;95;131;111.6;111.5;"7.36";"8.04";"F5";"-43";"-21";"-45";"-22";"+14 1683";"NV";"073026.25+135154.0";7.36;8.04
"07309+3034";"DOM   1";"AB,C";1903;2004;15;109;116;91.9;88.9;"8.64";"8.83";"A0";"-8";"-13";"-70";"-79";"+30 1519";"N";"073054.90+303426.2";8.64;8.83
"07354-2822";"SHY 512";"AD";1991;1999;4;209;209;530;530.5;"4.62";"7.88";"B8V+F2V";"-66";"-20";"-64";"-15";"";"NV";"073522.94-282209.4";4.62;7.88
"07366-1429";"STF1121";"AG";1893;2015;17;1;3;84.6;84;"6.92";"7.66";"B6V+B7IV/";"-16";"13";"-9";"2";"-14 2022";"N";"073636.06-142903.7";6.92;7.66
"07366-1429";"STF1121";"AI";1893;2015;14;26;28;165.2;164.7;"6.92";"6.67";"B6V";"-16";"13";"-6";"1";"-14 2025";"N";"073636.06-142903.7";6.92;6.67
"07366-1429";"STF1121";"AJ";1893;2015;15;354;356;196.3;195.8;"6.92";"8.58";"B6V";"-16";"13";"-10";"2";"-14 2019";"N";"073636.06-142903.7";6.92;8.58
"07366-1429";"S   555";"GI";1825;2015;20;48;49;95.8;95.7;"7.66";"6.67";"B7IV/Vn";"-9";"2";"-6";"1";"-14 2025";"N";"073636.29-142740.4";7.66;6.67
"07366-1429";"SLV   4";"GJ";1893;2015;15;349;350;112.7;112.9;"7.66";"8.58";"B7IV/Vn";"-9";"2";"-10";"2";"";"N";"073636.29-142740.4";7.66;8.58
"07376-1426";"S   557";"";1825;2011;20;337;338;66.4;66.2;"6.51";"8.74";"B9IIIe";"-6";"1";"-9";"0";"-14 2053";"N";"073738.80-142626.7";6.51;8.74
"07389+4229";"STTA 87";"";1875;2004;23;359;357;65.5;62.2;"7.59";"7.78";"F5";"-4";"0";"-21";"-31";"+42 1744";"N";"073852.37+422831.5";7.59;7.78
"07393+0514";"SMR  11";"AG";1855;2012;5;282;314;384.3;355.7;"0.46";"8.85";"F5IV-V";"-71";"-102";"-2";"-8";"";"NL P";"073918.12+051330.0";0.46;8.85
"07442-5027";"DUN  55";"AB";1836;1999;20;134;133;60;51.9;"6.64";"7.59";"F9V+G0";"-114";"144";"-112";"144";"-50 2947";"NZWV";"074412.62-502725.5";6.64;7.59
"07446-3757";"SKF1444";"";1912;2010;8;204;204;176.9;176.6;"5.85";"8.59";"B7V+A3V";"-21";"15";"-22";"14";"";"VW";"074434.18-375634.5";5.85;8.59
"07462-5949";"SHY 194";"AC";1991;2015;4;318;318;999.9;999.9;"8.23";"7.25";"K0V+G3V";"-56";"154";"-53";"158";"";"NVW";"074614.81-594850.7";8.23;7.25
"07462-5949";"SHY 194";"BC";1991;2015;4;318;318;999.9;999.9;"8.32";"7.25";"K0V+G3V";"-54";"147";"-53";"158";"";"NVW";"074617.02-594835.5";8.32;7.25
"07471-4130";"DUN  56";"";1826;2010;17;170;177;53;49.3;"6.89";"7.84";"B1/2Ib/II";"-2";"5";"-5";"4";"-41 3384";"NY";"074707.19-413013.4";6.89;7.84
"07478-1601";"KNT   4";"AB";1864;2016;16;311;313;128.8;128.1;"6.60";"6.54";"K5II-+K2Ia";"-7";"-1";"-1";"3";"-15 2052";"NZ";"074745.21-160052.1";6.6;6.54
"07490+0040";"STTA 88";"AB";1875;2011;22;5;5;56.9;57.6;"7.48";"8.90";"F2";"-1";"-19";"-2";"-16";"+01 1911";"N";"074858.22+003942.9";7.48;8.9
"07492-4622";"JC   11";"AB";1846;1999;9;103;104;60;59.1;"4.06";"8.79";"B0III";"-5";"9";"-6";"6";"-46 3458";"N";"074914.30-462223.6";4.06;8.79
"07492-6017";"SHY 197";"AC";1991;1999;4;322;322;999.9;999.9;"5.82";"8.23";"F4V+K0V";"-38";"140";"-56";"154";"";"NV";"074912.95-601702.5";5.82;8.23
"07492-6017";"SHY 197";"AD";1991;1999;3;320;320;999.9;999.9;"5.82";"7.25";"F4V+G3V";"-38";"140";"-53";"158";"";"NV";"074912.95-601702.5";5.82;7.25
"07510+3137";"STTA 89";"";1875;2015;27;83;84;76.7;76.8;"6.83";"7.69";"A6III-IV";"-11";"-41";"-13";"-41";"+31 1676";"NZ";"075100.20+313648.7";6.83;7.69
"07522-4219";"SKF2568";"";1878;2010;10;267;267;73.9;74.1;"7.48";"8.4";"B7IV+B9III";"-12";"4";"-12";"3";"-41 3486";"V";"075214.46-421921.1";7.48;8.4
"07558+1027";"SKF1808";"";1913;2010;9;273;273;75.9;76.3;"7.01";"8.89";"B9+F2";"-15";"-9";"-16";"-10";"";"V";"075547.65+102636.4";7.01;8.89
"08004-4216";"SKF2569";"";1901;2010;6;3;3;93.2;93.3;"7.97";"8.88";"B:+B:";"-7";"3";"-8";"2";"-41 3631";"V";"080023.15-421629.9";7.97;8.88
"08013-2220";"BU  333";"AC";1875;1999;14;60;70;30;42.8;"7.15";"7.62";"G0";"-8";"1";"-13";"22";"-21 2221";"Z";"080118.57-222013.1";7.15;7.62
"08014-5431";"DUN  60";"";1837;2010;17;160;162;40.4;40.2;"6.10";"7.86";"B2IV-V";"-5";"6";"0";"4";"-54 1470";"N";"080123.04-543055.9";6.1;7.86
"08025+6305";"SHJ  86";"AB";1790;2016;24;84;80;46.9;51.3;"6.15";"7.53";"G1III";"-12";"-14";"14";"7";"+63  749";"N";"080230.82+630525.2";6.15;7.53
"08031-3228";"HJ 4035";"";1835;2010;13;132;135;30;36.6;"5.95";"8.99";"K2.5III";"-12";"9";"-1";"2";"-32 4766";"N";"080304.16-322748.8";5.95;8.99
"08047-6250";"DUN  62";"";1826;2010;22;266;259;87.4;86.3;"6.22";"7.80";"B2.5Vn";"-5";"11";"11";"-46";"-62  953";"N";"080442.93-625010.9";6.22;7.8
"08057-3000";"I   788";"AC";1896;1999;8;266;268;43.1;43;"8.46";"8.91";"A0IV/V";"-1";"7";"-4";"8";"-29 5507";"Z";"080539.85-295931.2";8.46;8.91
"08063-4021";"RSS   9";"";1899;2010;15;243;243;52.8;53.1;"8.14";"8.66";"A0V";"1";"-1";"2";"-1";"-39 3991";"N";"080615.23-402037.2";8.14;8.66
"08065-0915";"STF1183";"AB";1831;2015;43;327;327;30;30.5;"6.22";"7.77";"B9.5IV";"-6";"6";"-1";"3";"-08 2222";"";"080627.42-091440.1";6.22;7.77
"08085-1952";"S   563";"AB";1825;2016;18;56;57;134.3;134.2;"7.03";"7.62";"B8V+K0III";"-10";"5";"-6";"-4";"-19 2260";"Z";"080829.64-195136.8";7.03;7.62
"08091-3931";"GLI  80";"";1852;2010;19;246;249;48.7;40;"7.74";"8.72";"K1III+";"5";"-21";"-1";"4";"-39 4040";"NY";"080902.63-393049.4";7.74;8.72
"08095-4720";"DUN  65";"AB";1826;2009;39;222;221;42.9;40.3;"1.79";"4.14";"WC8+O7.5e";"-6";"10";"-1";"10";"-46 3847";"N";"080931.96-472011.8";1.79;4.14
"08095-4720";"DUN  65";"AC";1835;2009;22;152;152;62.4;61.5;"1.79";"7.26";"WC8+O9I";"-6";"10";"-4";"5";"-46 3848";"N";"080931.96-472011.8";1.79;7.26
"08095-4720";"DUN  65";"BC";1846;2000;18;112;113;61.5;60.8;"4.14";"7.26";"B1IV+O9I";"-1";"10";"-6";"9";"-46 3846";"N";"080929.32-472043.0";4.14;7.26
"08102+5548";"SHY 524";"AC";1991;1998;3;152;152;999.9;999.9;"7.61";"8.70";"A2+FF";"-14";"-59";"-19";"-56";"";"NV";"081012.57+554815.5";7.61;8.7
"08102+2551";"ARN   2";"AC";1893;2016;15;22;22;187.7;188.4;"6.58";"8.82";"K0";"-16";"-29";"-26";"-20";"";"N";"081013.10+255040.1";6.58;8.82
"08113+0117";"STF1198";"";1797;2010;30;356;338;35.3;33.3;"8.72";"8.77";"G0";"-54";"-2";"-55";"-2";"+01 2017";"N";"081115.97+011605.5";8.72;8.77
"08113-1256";"BU 1064";"AD";1899;2000;3;276;276;60.6;57.8;"4.82";"8.9";"G8III";"-25";"9";"";"";"";"N";"081116.32-125537.3";4.82;8.9
"08122+1739";"STF1196";"AB,D";1887;2012;20;108;107;293.4;275.6;"4.92";"8.89";"F8V";"80";"-129";"9";"-4";"+18 1870";"NU";"081212.79+173851.2";4.92;8.89
"08122+1739";"STF1196";"CD";1913;2000;7;108;107;283.6;277.5;"5.85";"8.89";"G5V";"80";"-43";"4";"-2";"";"NU";"081213.18+173853.6";5.85;8.89
"08136-3621";"DUN  68";"";1826;2010;17;25;26;112;125;"7.26";"7.29";"B5V";"-6";"7";"-7";"7";"-35 4344";"";"081318.19-362030.2";7.26;7.29
"08140-3619";"DUN  67";"";1826;2010;25;165;176;75;66.8;"5.03";"5.99";"B1.5IV";"-8";"8";"-7";"8";"-35 4358";"N";"081358.31-361920.2";5.03;5.99
"08142+1741";"STU  22";"AB,D";1894;2013;21;323;323;231.3;228.6;"6.51";"8.94";"A0Vn";"0";"14";"-9";"-8";"+18 1880";"N";"081411.14+174033.3";6.51;8.94
"08144-4550";"HJ 4069";"AB,C";1836;1999;23;257;249;33.2;32.1;"5.81";"8.70";"B2IV-V";"8";"11";"13";"-11";"-45 3913";"";"081423.88-455004.4";5.81;8.7
"08170+5911";"STT 565";"AC";1851;2012;18;308;308;222.4;226.1;"6.71";"8.45";"K0";"2";"-13";"-34";"-27";"+59 1152";"N";"081658.08+591121.8";6.71;8.45
"08184-2017";"HJ 2441";"AC";1894;2016;14;151;153;55.9;54.2;"8.84";"8.77";"A1V+A2";"-2";"-1";"-2";"4";"-19 2347";"N";"081821.08-201619.7";8.84;8.77
