"WDS";"Discov";"Comp";"Firs";"Last";"Obs";"P1";"P2";"Sep.01";"Sep.02";"Mag1";"Mag2";"Spectr";"M1RA";"M1DE";"M2RA";"M2DE";"DurNum";"Not";"Coord2000ArcSec";"Mag1Num";"Mag2Num"
"01535+1918";"STF 180";"AC";1823;2012;18;85;81;228.8;216.8;"4.52";"8.63";"A1pSi";"83";"-107";"2";"-11";"+18  244";"N";"015331.76+191738.6";4.52;8.63
"01535+1918";"STF 180";"BC";1907;2012;10;86;83;221.6;215.7;"4.58";"8.63";"B9V";"83";"-107";"2";"-11";"";"N";"015331.77+191746.3";4.58;8.63
"01562+3715";"STFA  4";"AB";1834;2014;38;302;298;176.2;202.5;"5.79";"6.07";"K0III+gM0";"184";"12";"10";"-5";"";"NL";"015609.23+371506.5";5.79;6.07
"01579+2336";"H 5  12";"AB";1777;2016;84;48;48;38;37.1;"4.80";"6.65";"F0IV+F7V";"-93";"-13";"-91";"-18";"+22  288";"NV";"015755.71+233545.8";4.8;6.65
"01580-0204";"BU    7";"AC";1891;2011;16;197;199;148.9;152.1;"6.58";"8.84";"A0";"37";"9";"0";"-1";"-02  329";"";"015759.39-020334.2";6.58;8.84
"02004-0831";"STU  15";"AC";1988;2011;7;61;61;399.6;384.1;"5.66";"7.03";"G5";"86";"-20";"90";"-56";"-09  382";"N";"020026.77-083125.8";5.66;7.03
"02020+0246";"PWL   1";"AC";1856;2006;9;62;63;406.1;404.9;"4.10";"8.25";"A3m";"33";"0";"36";"-10";"";"NV";"020202.80+024549.4";4.1;8.25
"02020+0246";"PWL   1";"AD";1856;2006;9;336;335;457.8;434.5;"4.10";"8.59";"A3m";"33";"0";"-70";"-207";"";"N";"020202.80+024549.4";4.1;8.59
"02022+7530";"STF 185";"AC";1894;2003;13;175;170;115.9;120.7;"6.77";"8.94";"A0";"17";"-10";"151";"-44";"+74   92";"N";"020209.27+753007.9";6.77;8.94
"02022-4550";"SHY 410";"";1991;1999;3;10;10;999.9;999.9;"7.74";"7.87";"F5/6V+G0V";"54";"-3";"53";"-5";"-46  597";"NV";"020210.72-455007.9";7.74;7.87
"02027-3019";"HJ 3478";"";1834;2014;22;139;150;30;42.6;"8.18";"8.89";"K2/3III";"17";"19";"-12";"-22";"-30  716";"NL";"020244.39-301918.6";8.18;8.89
"02057-2423";"I   454";"AB,C";1897;2014;17;257;258;56.2;56.9;"8.62";"8.96";"G9+G9+G8V";"419";"-64";"408";"-54";"";"NZ V";"020541.51-242233.8";8.62;8.96
"02094+2556";"H 6  69";"AB";1833;2011;11;44;34;82.6;93.3;"4.99";"8.01";"F2III";"71";"-41";"65";"-34";"+25  355";"N";"020925.29+255623.9";4.99;8.01
"02094+2556";"H 6  69";"AC";1823;2012;35;278;277;105.3;104;"5.02";"7.97";"F2III";"71";"-35";"74";"-37";"+25  354";"N";"020925.29+255623.9";5.02;7.97
"02120-3217";"JC    7";"AC";1847;2015;14;182;181;150.5;148.4;"8.24";"8.79";"G0+F0";"-4";"12";"21";"31";"-32  822";"";"021201.31-321715.5";8.24;8.79
"02128+7941";"S   405";"AB";1782;2016;28;274;278;51;55.6;"6.47";"7.15";"A5III";"-23";"24";"-19";"21";"+79   63";"N";"021249.98+794129.3";6.47;7.15
"02129+5712";"STTA 24";"AB";1875;2012;33;332;333;55.7;91.1;"7.08";"8.76";"G2/3V";"268";"-218";"137";"4";"+56  449";"NL U";"021256.06+571216.2";7.08;8.76
"02132+4030";"SHY 136";"AB";1893;2003;14;340;340;615.2;615.3;"7.44";"7.28";"G0V+G5V";"58";"-96";"59";"-109";"";"NV";"021313.29+403028.2";7.44;7.28
"02165-5131";"SHY 137";"AC";1991;1999;3;208;208;999.9;999.9;"3.52";"6.49";"B8IV-+F4V";"93";"-24";"91";"-25";"";"NVW";"021630.58-513043.7";3.52;6.49
"02165-5131";"SHY 137";"AD";1991;1999;3;228;228;999.9;999.9;"3.52";"7.13";"B8IV-+F5V";"93";"-24";"91";"-32";"";"NVW";"021630.58-513043.7";3.52;7.13
"02165-5131";"SHY 133";"CD";1991;1999;3;247;247;999.9;999.9;"6.49";"7.13";"F4V+F5V";"91";"-25";"91";"-32";"";"NVW";"020435.11-545254.0";6.49;7.13
"02165-5131";"SHY 143";"CE";1991;1999;3;64;64;999.9;999.9;"6.49";"5.33";"F4V+A6V";"91";"-25";"96";"-15";"";"NVW";"020435.11-545254.0";6.49;5.33
"02165-5131";"SHY 130";"DF";1991;2015;4;244;244;999.9;999.9;"7.13";"8.59";"F5V+G7V";"91";"-32";"90";"-36";"";"NVW";"013907.62-562545.7";7.13;8.59
"02167-6324";"TOK  71";"AD";1991;2000;5;51;51;838.1;849;"7.83";"8.90";"F7V";"24";"61";"28";"61";"";"NV";"021644.26-632332.9";7.83;8.9
